manufacturer_slice,match
topserve ea,"['topserve ea', 'topserve', 'top serve']"
grain industrie,"['grain industrie', 'grain industries', 'grain indusries', 'grain industry', 'grain industries ltd']"
beta ltd,"['beta ltd', 'betra ltd', 'bea ltd', 'bata ltd', 'bella ltd']"
snow international,"['snow international', 'snow international.', 'sunda international', 'solix international', 'sunda internationals']"
kenya seed limited,"['kenya seed limited', 'kenya seed. co.limited', 'kenya sweets limited', 'ea seeds limited', 'kenya seed ltd']"
trupharma ltd,"['trupharma ltd', 'pharma ltd', 'pharma ltd.', 'trupharma', 'sun pharma ltd']"
kitui flour,"['kitui flour', 'kitui flour ltd', 'kitui flour mill']"
kapa oil ltd,"['kapa oil ltd', 'pwani oil ltd', 'kapa oil']"
kusum healthcare ltd,"['kusum healthcare ltd', 'kusum health care', 'premium healthcare ltd', 'zzydus healhcare ltd', 'skant healthcare ltd']"
multmax investment limited,"['multmax investment limited', 'multmax investment ltd', 'sulmart ivestments limited', 'silmart investments limited', 'lacata investment limited']"
super feed ltd,"['super feed ltd', 'super feeds ltd', 'superfeed ltd', 'sure feed ltd', 'sure feeds ltd']"
nikkoz chemical industris,"['nikkoz chemical industris', 'nikoz chemical industries', 'nikko chemical industries', 'nikko chemicals industries', ""nikko's chemical industries""]"
isagro agrochemicals,"['isagro agrochemicals', 'isagro agrochemical', 'zagro agrochemicals', 'isagro agrochemicals pvt', 'isagro agrochemicals ltd']"
petna chemicals,"['petna chemicals', 'delta chemicals', 'perachemicals', 'paa chemicals', 'tata chemicals']"
balozi feeds ltd,"['balozi feeds ltd', 'malezi feeds ltd', 'balozi feeds', 'malezi feeds ltd.', 'asili feeds ltd']"
sineria ltd,"['sineria ltd', 'sineria co ltd', 'sineria co. ltd', 'sera ltd', 'siena ltd']"
atlantis life sciencs,"['atlantis life sciencs', 'atlantis life sciences', 'antlantis life sciences', 'atlatis life sciences', 'atlantis life science']"
norbrook laboratories ltd.,"['norbrook laboratories ltd.', 'norbrook laboratories limited', 'norbrook laboratories', 'neon laboratories ltd']"
seed co the,"['seed co the', 'seed-co (the', 'seed co ltd']"
kriv industries,"['kriv industries', 'reva industries', 'kapi industries', 'eris industries', 'pi industries']"
ava chemicals,"['ava chemicals', 'lava chemicals', 'paa chemicals', 'tata chemicals', 'nova chemicals']"
e.u agrofeed ltd.,"['e.u agrofeed ltd.', 'agrofeed ltd', 'agrofeeds ltd', 'agrofeed  ltd', 'agro feed ltd']"
farmcare limited,"['farmcare limited', 'farmyard limited', 'farmbase limited', 'agricare limited', 'farmguard limited']"
pz cussonls,"['pz cussonls', 'pz cussons', 'pz cusons']"
volvo investment ltd,"['volvo investment ltd', 'vanlo ivestment ltd', 'vivek investments ltd', 'bijoro investment ltd', 'vanlo investment limited']"
intervet international,"['intervet international', 'intraco international', 'positive international', 'innotech international', 'agrifert international']"
juanco sps,"['juanco sps', 'juanko s.p.s']"
haut international,"['haut international', 'bajuta international', 'ayul international', 'uma international', 'hvm international']"
tauris packaging ltd,"['tauris packaging ltd', 'taurus packaging ltd', 'taurus packaging', 'taurus  packing  lltd']"
supreme farm care.,"['supreme farm care.', 'supreme farm care', 'supreme farmcare', 'supreme farmcare ltd.', 'premier farm care']"
ascot,"['ascot', 'scot', 'scort', 'sasco']"
basko,['basko']
ks vet ltd,"['ks vet ltd', 'nk vet ltd', 'komvet ltd', 'bisvet ltd']"
pharmacy swede,"['pharmacy swede', 'pharmacy sweede', 'pharma swede', 'pharma sweede', 'pharma sweden']"
nact industries,"['nact industries', 'nacl industries', 'pac industries', 'pack industries', 'naju industries']"
cooper kenya limited,"['cooper kenya limited', 'coopers kenya limited', 'cooper kenya limitedc', 'coopers kenya ltd', 'coopers kenya  ltd']"
agarfert international.,"['agarfert international.', 'agarfet international', 'agafert international', 'agrifert international', 'agerfert international']"
simlaw seed co.,"['simlaw seed co.', 'simlaw seeds.', 'simlaw seed', 'simlaw seeds', 'similaw seed']"
fames ltd,"['fames ltd', 'famas ltd', 'farmbest ltd', 'fast ltd', 'fami ltd']"
agricare limited,"['agricare limited', 'farmcare limited', 'agricare ltd', 'agri limited', 'asmi care limited']"
sulphur mill ltd,"['sulphur mill ltd', 'sulphur mills ltd', 'sulphur mills ltd.', 'sulphur mills lmtd', 'sulphur  mills ltd']"
crater supplies ltd,"['crater supplies ltd', 'crater supplies', 'craters supplies', 'crater suppliers']"
synovet& agro ltd,"['synovet& agro ltd', 'synovet & agro', 'synovet&agro', 'synovet agro', 'synovet &agro']"
dinlas limited,"['dinlas limited', 'daina limited', 'dips limited', 'dinlas ltd', 'maina limited']"
petmix feeds ltd,"['petmix feeds ltd', 'premium feeds ltd', 'premier feeds ltd', 'pembe feeds ltd', 'lemji feeds ltd']"
impact chemcals ltd,"['impact chemcals ltd', 'impact chemicals ltd', 'impact chemical ltd', 'lmpact chemicals ltd', 'impack chemical ltd']"
mea fertilizers,"['mea fertilizers', 'omnia fertilizers', 'mavuno fertilizers', 'fertilizers', 'yara fertilizers']"
tsavo seeds ltd,"['tsavo seeds ltd', 'tsavo seed ltd', 'tsavo seeds limited', 'tsavo seed co.ltd', 'top seeds ltd']"
neitherlands,['neitherlands']
square pharm limited,"['square pharm limited', 'regal pharm limited', 'square pharmaceuticals limited']"
oxyplus international,"['oxyplus international', 'oxyplus international ltd', 'oxyplus international comany', 'oxyplus international co.ltd', 'oxyplus international company']"
shangai m-win,"['shangai m-win', 'shanghai m-win', 'shanghai m -win', 'shanghai m-win chem']"
getron ltd,"['getron ltd', 'metro ltd', 'etr ltd', 'tronic ltd', 'beston ltd']"
donny feeds ltd,"['donny feeds ltd', 'dony feeds co.ltd', 'donny feeds', 'county feeds ltd', 'dora feeds ltd']"
benmed ltd,"['benmed ltd', 'vetmed ltd', 'bremer ltd']"
royal sound,['royal sound']
simbq,"['simbq', 'simbs']"
suca feeds ltd,"['suca feeds ltd', 'soca feeds ltd', 'socca feeds ltd', 'soca feeds ltd.', 'socafeeds ltd']"
beximco pharmaceutical ltd,"['beximco pharmaceutical ltd', 'beximco pharmaceuticals ltd', 'beximco pharmceuticals ltd', 'beximco phamaceuticals ltd', 'beximco pharmaceutical']"
mf nanjing,"['mf nanjing', 'nanjing', 'manjing']"
pharmavet africa limited,"['pharmavet africa limited', 'pharmavet africa ltd', 'pharmavet africa  ltd', 'pharmavet africa']"
sosmos limiter,"['sosmos limiter', 'cosmos limited']"
royal green,"['royal green', 'royal reed', 'royal breed']"
philatelic animal health,"['philatelic animal health', 'philavtis animal health', 'philavetis animal health', 'philavetis animal  health', 'philaveties animal health']"
edemake limited,"['edemake limited', 'edemake ltd', 'dama limited']"
centurion laboratories ltd,"['centurion laboratories ltd', 'centurion laboratories', 'centruion laboratories', 'neon laboratories ltd', 'atco laboratories ltd']"
keapos limited,"['keapos limited', 'keapros limited', 'keapros lmtd', 'kapl limited', 'kapi limited']"
agri price centre,"['agri price centre', 'agri-price centre', 'agri price center']"
down agroscience,"['down agroscience', 'down agroscinces', 'down agriscience', 'dow agrosciences', 'dow agro sciences']"
agriscop ltd,"['agriscop ltd', 'agriscope ltd', 'agri scope ltd', 'agricope ltd', 'agroscope ltd']"
keapros limited,"['keapros limited', 'keapos limited', 'keapros lmtd', 'vepro limited', 'aroms limited']"
suphur mills ltd,"['suphur mills ltd', 'sulphur mills ltd', 'sulphur mills ltd.', 'sulphur mills lmtd', 'sulphur  mills ltd']"
afyagross enterprises,"['afyagross enterprises', 'afya gross enterprises', 'afyagross enterprices', 'farm enterprises', 'agroplus enterprise']"
farm vetcare ltd.,"['farm vetcare ltd.', 'farm vetcare ltd', 'farmix vetcare ltd', 'farmvet care ltd', 'farm care ltd']"
rencecap enterprise ltd,"['rencecap enterprise ltd', 'rencecap enterprises ltd', 'rencecap entreprises ltd', 'rencap entreprise ltd', 'rencecap enterprise']"
united agrochem,"['united agrochem', 'united agrochems', 'vetmed agrochem']"
bosco,"['bosco', 'cosco', 'bosch', 'besco']"
besco,"['besco', 'bosco']"
devic,"['devic', 'mevic', 'gevic', 'evico', 'devji']"
vetindia pharmaceuticals ltd,"['vetindia pharmaceuticals ltd', 'vetindia pharmaceutical  ltd', 'vetindia pharmaceuticals', 'vetindia pharmaceutical limited', 'enicar pharmaceuticals ltd']"
ur home international,"['ur home international', 'home internation', 'uma international', 'rmj international', 'hvm international']"
devji,"['devji', 'pevji', 'devik', 'devic', 'delvi']"
trust chemicals(u)ltd,"['trust chemicals(u)ltd', 'trust chemical ltd', 'trust chemicals u', 'trust chemicals', 'trust chem.(u) ltd']"
yara fertilizer,"['yara fertilizer', 'yara fertilizers', 'baraka fertilizer', 'baraka fertilizers', 'foliar fertilizer']"
agraval east africa,"['agraval east africa', 'agrival east africa', 'agreval east africa', 'agrieval east africa', 'agreval east african']"
kenbreed industries ltd,"['kenbreed industries ltd', 'kenbreed industries', 'kenefric industries ltd', 'kenafric industries ltd', 'kenafrica industries ltd']"
dkt international,"['dkt international', 'haut international', 'gnld international', 'advanta international', 'sunda international']"
lic pharm ltd,"['lic pharm ltd', 'licpharm ltd', 'lacpharm ltd', 'licpharment ltd', 'lincoln pharma ltd']"
home guarder,"['home guarder', 'homeguarder', 'home guader', 'home garder', 'home guard']"
best field,"['best field', 'best fields', 'bestfield', 'bestfields', 'best firld']"
pharma sweeden,"['pharma sweeden', 'pharma sweede', 'pharma sweden', 'phrama sweeden', 'pharma sweed']"
my dawa limited,"['my dawa limited', 'dawa limited', 'dawa  limited', 'my dawa ltd', 'dawalimited']"
mutuchem enterp,"['mutuchem enterp', 'mutuchem ent', 'mtuchem ent']"
shangai  pharmaceuttical,"['shangai  pharmaceuttical', 'shanghai  pharmaceutical', 'shanghai pharmaceutical', 'shangai pharmaceuticals', 'shanghai phamaceuticals']"
vet&agronomic ltd,"['vet&agronomic ltd', 'vet &agronomic ltd', 'vet agronomic ltd', 'vet&agronomic e.a.ltd', 'agronomic ltd']"
salim wazaran,"['salim wazaran', 'salim wazaran ltd']"
greenfarm supplies,"['greenfarm supplies', 'progreen supplies']"
galvamesh enterprises. ltd,"['galvamesh enterprises. ltd', 'galvamesh enterprises ltd', 'galvamesh enterprise ltd', 'galvamesh enterprises', 'galvamesh  enterprises']"
ghapex,['ghapex']
reva industries,"['reva industries', 'brava industries', 'precha industries', 'rope industries', 'rkay industries']"
zenex animal,['zenex animal']
agrival east africa,"['agrival east africa', 'agrieval east africa', 'agreval east africa', 'agraval east africa', 'agreval east african']"
swede egypt,"['swede egypt', 'swede-egypt']"
supreme feeds ltd,"['supreme feeds ltd', 'zupreme feeds ltd', 'supreme feeds co.ltd', 'sure feeds ltd', 'premier feeds ltd']"
eastafrica seed co,"['eastafrica seed co', 'eastafrica seed co.ltd', 'east africa seed', 'east african seed', 'east africa seeds']"
wilmax feeds ltd,"['wilmax feeds ltd', 'max feeds ltd', 'wilmax feeds', 'sigma feeds ltd', 'milimani feeds ltd']"
delvi,"['delvi', 'elvin', 'devji', 'devik', 'devic']"
advanta seeds int,"['advanta seeds int', 'advanta seed intl', 'advanta seed int.', 'advanta seeds ltd', 'advanta seeds']"
gnass kenya limited,"['gnass kenya limited', 'gnass kenya ltd', 'njimia kenya limited', 'organics  kenya limited', 'organic kenya limited']"
vet &,"['vet &', 'vet w', 'vet b']"
sumito chemical,"['sumito chemical', 'sumitomo chemical', 'sumitomo chemicals', 'sumitomo chemcal', 'sumitomo chemical ltd']"
globak crop,"['globak crop', 'global crop']"
inventia healthcare,"['inventia healthcare', 'india, healthcare', 'beta healthcare', 'retival healthcare', 'rental health care']"
agri venture ltd,"['agri venture ltd', 'agri ventures ltd', 'avri venture ltd', 'a graventure ltd', 'jaico venture ltd']"
alison product(k) ltd,"['alison product(k) ltd', 'alison products ltd', 'alison product']"
bata ltd,"['bata ltd', 'bajuta ltd', 'tata ltd', 'data ltd', 'beta ltd']"
shaanxi meibang,['shaanxi meibang']
sonal pharma ltd,"['sonal pharma ltd', 'sun pharma ltd', 'bal pharma ltd', 'sonal pharma', 'bal pharmah ltd']"
animx ltd,"['animx ltd', 'animix ltd', 'animax ltd', 'animix ltd.', 'animix lmtd']"
stonebelt enterprises,"['stonebelt enterprises', 'steel mart enterprises', 'seth enterprises']"
jubaili ltd.,"['jubaili ltd.', 'jubaili ltd', 'juakili ltd', 'jubaili limited']"
miurphy chemicals,"['miurphy chemicals', 'murphy chemicals', 'murpy chemicals', 'murphy chemical', 'muphy chemical']"
malezi feeds ltd,"['malezi feeds ltd', 'malezi feeds ltd.', 'balozi feeds ltd', 'malezi feeds', 'mbeki feeds ltd']"
embu feeds ltd,"['embu feeds ltd', 'embu feed ltd', 'tembo feeds ltd', 'pembe feeds ltd', 'temboh feeds ltd']"
armacare enterprises.,"['armacare enterprises.', 'armacare enterprises', 'armcare enterprises', 'armacare enteprises', 'amacare enterprises']"
pharm egypt,['pharm egypt']
altantis life science,"['altantis life science', 'atlantis life science', 'atlantis. life science', 'atlantis life sciences', 'atlantis life  science']"
advanta seed int.,"['advanta seed int.', 'advanta seeds int', 'advanta seed intl', 'advanta seed', 'advanta seeds ltd']"
heranba industrial ltd,"['heranba industrial ltd', 'heranba industried ltd', 'heranba industries. ltd', 'heranba india ltd', 'hernaba industries ltd']"
di industies,"['di industies', 'pi industries', 'ip industries', 'daima industries', 'ip  industries']"
sumitomo chemicals ltd,"['sumitomo chemicals ltd', 'sumitomochemicals ltd', 'sumitomo chemical ltd', 'sumitomo chemical  ltd.', 'bumitomo chemical ltd']"
belcare limited,"['belcare limited', 'healthcare limited', 'belcare ltd', 'bellchem limited', 'health care limited']"
kevavapi ltd,"['kevavapi ltd', 'kevavapi']"
yixing chemical ltd,"['yixing chemical ltd', 'king chemical ltd', 'kyx chemical ltd', 'bingwa chemical ltd', 'orion chemical ltd']"
impact chemical ltd,"['impact chemical ltd', 'impact chemicals ltd', 'impact chemcals ltd', 'impack chemical ltd', 'lmpact chemicals ltd']"
asish newlife science,"['asish newlife science', 'ashishi life science', 'ashis life science', 'ashish life scoence', 'ashich life science']"
daps agrochemicals,"['daps agrochemicals', 'daps agro chemicals', 'agrochemicals', 'aak agrochemical', 'mutunda agrochemicals']"
mas animal,"['mas animal', 'kays animal', 'asia animal']"
sineria co ltd,"['sineria co ltd', 'sineria co. ltd', 'sineria ltd']"
meghmani industries ltd,"['meghmani industries ltd', 'grain industries ltd', 'magadi industries ltd', 'gravic industries ltd', 'grains industries ltd']"
mahia manufactures,"['mahia manufactures', 'hay manufactures', 'gph manufactures', 'wheat manufacturers', 'shalom manufactures']"
dola feeds ltd,"['dola feeds ltd', 'dora feeds ltd', 'soca feeds ltd', 'lake feeds ltd', 'bora feeds ltd']"
healthcare pvt. ltd.,"['healthcare pvt. ltd.', 'healthcare pvt. ltd', 'healthcare pvt ltd.', 'healthcare pvt ltd', 'healthcare pvt.limited']"
onnocia life sciences,"['onnocia life sciences', 'innocia life sciences', 'innocia lifesciences', 'innocia lifescience', 'innocia lifesciences ltd']"
beta healthcare,"['beta healthcare', 'beta health care', 'beta heathcare', 'bota healthcare', 'betahealthy care']"
atoz pharmaceutical,"['atoz pharmaceutical', 'atoz pharmaceuticals', 'atoz pharmaceuticala', 'atoz phamaceuticals', 'kito pharmaceutical']"
agribase. bioscience ltd,"['agribase. bioscience ltd', 'agribase bioscience ltd', 'agribase  bioscience ltd', 'agribase bioscience', 'agribase  bioscience']"
lake feeds ltd,"['lake feeds ltd', 'naku feeds ltd', 'dola feeds ltd', 'lake feeds', 'lucky feeds ltd']"
lincolin pharmaceticals ltd,"['lincolin pharmaceticals ltd', 'lincolin pharmaceuticals ltd', 'lincoln pharmaceuticals ltd', 'lincoln pharmaceutical ltd', 'lincolin pharmaceuticals']"
zidai africa,"['zidai africa', 'sidai africa', 'sidai afica', 'sida africa', 'sidai sfrica']"
crop care ent,"['crop care ent', 'cropcare entr', 'cropcare entrc', 'crop care ltd', 'crop care']"
chemnet international,"['chemnet international', 'hvm international', 'haut international', 'crosschem international', 'home internation']"
yingde greatchem,['yingde greatchem']
acrochemical,"['acrochemical', 'agrochemical', 'arom chemical', 'agrochemicals', 'agro-chemical']"
rongai feeds ltd,"['rongai feeds ltd', 'robna feeds ltd', 'unga feeds ltd', 'rongai feeds', 'unga feeds ltd.']"
habel an'ran animal,"[""habel an'ran animal""]"
tempo,['tempo']
jem chem essentials,"['jem chem essentials', 'jemchem essentials', 'jemchem  essentials']"
hebei harmony pharma,['hebei harmony pharma']
avri venture ltd,"['avri venture ltd', 'agri venture ltd', 'agri ventures ltd', 'jaico venture ltd', 'afriventures ltd.']"
seed.co limited,"['seed.co limited', 'seed.co ltd', 'eco limited', 'fedo limited', 'seedco ltd']"
rainbow agrochemicals,"['rainbow agrochemicals', 'rainbow agro chemicals', 'rainbow chemicals', 'jingbo agrochemicals', 'rainbow chemical']"
cropcare entr,"['cropcare entr', 'cropcare entrc', 'crop care ent', 'cropcare enterprise']"
kenefric industries ltd,"['kenefric industries ltd', 'kenafric industries ltd', 'kenafrica industries ltd', 'kenafrica industries ltdk', 'kenafric industries limited']"
best farm enterprises,"['best farm enterprises', 'best farm enterprise', 'farm enterprises', 'magos farm enterprises', 'smart farming enterprises']"
amino pharma ltd,"['amino pharma ltd', 'zain pharma ltd', 'zain phama ltd', 'win pharma ltd', 'bio pharma ltd']"
impack chemical ltd,"['impack chemical ltd', 'impact chemical ltd', 'impact chemicals ltd', 'impact chemcals ltd', 'lmpact chemicals ltd']"
oaknet healthcare,"['oaknet healthcare', 'oaknet healthcarenet', 'comet healthcare', 'comet health care', 'amanta healthcare']"
shimu animals,"['shimu animals', 'shimu animal', 'shimu animals ltd']"
shandong pharmaceuticals,"['shandong pharmaceuticals', 'shangai pharmaceuticals', 'shandon pharmaceutical ltd', 'hanano pharmaceuticals', 'shandong xier pharmaceuticsls']"
agme manufucturers,"['agme manufucturers', 'amelin manufacturers']"
avivet agro chemicals,"['avivet agro chemicals', 'avivet  agro-chemicals', 'faith agrochemicals', 'faith agro chemical', 'orbit agro chemicals']"
sure feeds ltd,"['sure feeds ltd', 'sure feed ltd', 'supreme feeds ltd', 'super feeds ltd', 'lesere feeds ltd']"
jawabu agrochemical ltd,"['jawabu agrochemical ltd', 'nsanja agrochemical ltd', 'agrochemical ltd', 'jiangsu agrochemicals  ltd', 'aecare agrochemicals ltd']"
atlsntis life science,"['atlsntis life science', 'atlantis life science', 'atlantis. life science', 'atlantis life sciences', 'atlantis life  science']"
naku premier,"['naku premier', 'nakupremier', 'nakuru premier', 'naku premier ltd', 'nakuru premier ltd']"
alba farmcare ltd,"['alba farmcare ltd', 'alba farmcare', 'amape farmcare ltd', 'alba farm care', 'albafarmcare']"
bumitomo chemical ltd,"['bumitomo chemical ltd', 'sumitomo chemical ltd', 'sumitomo chemicals ltd', 'sumitomo chemical  ltd.', 'sumitomochemicals ltd']"
coral laboratories,"['coral laboratories', 'acon laboratories', 'ochoa laboratories', 'brawn laboratories', 'les laboratories']"
ultravetis  tanzania ltd,"['ultravetis  tanzania ltd', 'ultravetis tanzania ltd', 'ultravetis tanzania ltd.', 'ultravetis tanzania limited']"
agrofeed  ltd,"['agrofeed  ltd', 'agrofeed ltd', 'agrofeeds ltd', 'agro feed ltd', 'agrofeed limited']"
adenchem ltd,"['adenchem ltd', 'aden chem ltd', 'adichem ltd', 'adenchem limited', 'henanchem ltd']"
invectra agro ltd,"['invectra agro ltd', 'invectra agro', 'inter agro ltd', 'avivet agro ltd']"
seedco. ltd.,"['seedco. ltd.', 'seed co. ltd.', 'seedco ltd.', 'seed co. ltd', 'seedco.ltd']"
metrovet chemical ltd,"['metrovet chemical ltd', 'metrovet chemicals', 'trust chemical ltd', 'ultravetis chemicals ltd']"
safari seeda,"['safari seeda', 'safari seed', 'safari seedssa', 'safaris seed', 'safariseed']"
by grace distributors,['by grace distributors']
sayare crop,"['sayare crop', 'sayari crop']"
hydrotech east,"['hydrotech east', 'hygrotech east', 'hydrotech ltd']"
benmed pharmaceutical,"['benmed pharmaceutical', 'benmed pharmaceuticals', 'benmed pharmaceutical ltd', 'benmed pharmaciticals', 'benmed pharmaceuticals ltd']"
arom chemucals industries,"['arom chemucals industries', 'arom chemicals industries', 'aroms chemicals industries', 'arom chemicals industrie', 'arom chemical industries']"
bukoola agro,['bukoola agro']
chapa meli,"['chapa meli', 'chapameli', 'chap meli', 'chapa-meli', 'chapameni']"
intrade ltd,"['intrade ltd', 'vintage ltd', 'intas ltd']"
mboga one ventures,['mboga one ventures']
biosciences kenya ltd,"['biosciences kenya ltd', 'biosciences kenya ltd.', 'bio-sciences kenya ltd', 'biosciences kenya ld', 'bioscience kenya ltd']"
falcon ltd,"['falcon ltd', 'alcon ltd', 'falcon co.ltd', 'falconheit ltd', 'falcon limited']"
mbuzi,"['mbuzi', 'mbuni']"
benmed pharma,"['benmed pharma', 'benmed pharmaben', 'bremet pharma', 'bremer pharma', 'breme phama']"
afya quality,"['afya quality', 'ahadi quality', 'afya quality feeds']"
jirani feeds,"['jirani feeds', 'diri feeds', 'sanjiri feeds']"
pharmaceutical,"['pharmaceutical', 'pharmaceuticals', 'pharmaceuticalp', 'pharmceutical', 'pharmacetical']"
tamu feeds,"['tamu feeds', 'tamu feed', 'gitau feeds', 'daimu feeds', 'tmf feeds']"
feah france,['feah france']
steel,"['steel', 'stiefel', 'steelgo', 'astel']"
royal,"['royal', 'royals', 'royal b', 'royal a', 'royol']"
pembe,"['pembe', 'embe', 'pembr', 'jembe']"
"greenfarm ltd,","['greenfarm ltd,', 'greenfarm ltd', 'greenfarm ltd.', 'greenpark ltd', 'greenagro ltd']"
stell hardware,['stell hardware']
tai feeds,"['tai feeds', 'taji feeds', 'taifeeds', 'tai feed', 'tai feefd']"
unipharma,"['unipharma', 'unipharm', 'uniphama', 'mundipharma', 'mundi pharma']"
home harvest seeds,"['home harvest seeds', 'top harvest seeds', 'home harvest ltd', 'home harvester', 'home harvest']"
maylan labaratories,"['maylan labaratories', 'mylan laboratories', 'milan laboratories', 'mylan labaratory', 'msn labaratories']"
dinlas pharma,"['dinlas pharma', 'dinlas pharm', 'dinlas phama', 'dinals pharma', 'dilnas pharma']"
jubailli,"['jubailli', 'jubailli.', 'juballi', 'jubaill', 'jubaili']"
beijing greenleaf,"['beijing greenleaf', 'beijing green leaf', 'beijing greenleaf century']"
unifarm care feeds,"['unifarm care feeds', 'uni farmcare feeds', 'ufanisi farmcare feeds', 'unifarm care ltd', 'unifarm care']"
laboratory &allied ltd,"['laboratory &allied ltd', 'laboratory&allied ltd', 'laboratory& allied ltd', 'labaratory &allied ltd', 'laboratory &allied']"
health care,"['health care', 'healthy care', 'health care.', 'healthcare', 'health care..']"
sigma company,"['sigma company', 'sigma company ltd', 'sugar company', 'sidai company', 'daima company']"
isinya ltd,"['isinya ltd', 'siena ltd', 'vision ltd', 'songya ltd', 'sindai ltd']"
univet,"['univet', 'univets', 'univert', 'sunvet', 'univ']"
brandventure,"['brandventure', 'brant venture', 'adventure', 'brant ventures', 'brandvet']"
silmart,"['silmart', 'silmart.', 'silmat', 'silimat', 'smart']"
kenya veterinary,"['kenya veterinary', 'nk veterinary', 'ebbernna veterinary']"
gofa ltd,"['gofa ltd', 'oak ltd', 'gal ltd', 'fsa ltd']"
kensalt ltd,"['kensalt ltd', 'kensalt  ltd', 'ken salt ltd', 'kensalt limited', 'salt ltd']"
del ltd,"['del ltd', 'ideal ltd', 'e ltd', 'andeli ltd', 'kela ltd']"
agricare ltd,"['agricare ltd', 'agri care ltd', 'agri-care ltd.', 'arcare ltd', 'agrocare ltd.']"
tanga pharmaceutical,"['tanga pharmaceutical', 'tanga pharmaceuticayl', 'tanga pharmaceuticals', 'tanga pharmacutical', 'twiga pharmaceutical']"
rental health care,"['rental health care', 'revital health care', 'revital healthcare', 'retival healthcare', 'beta health care']"
dera chemicalz,"['dera chemicalz', 'dera chemical', 'dera chemicals', 'dera chemcal', 'dera  chemicals']"
isagro (asia),"['isagro (asia)', 'isagro asia', 'isagro (aisha)', 'lsagro asia', 'isagro/asia']"
aether centre,"['aether centre', 'aethra centre', 'aether center', 'aether centre ltd', 'awthee centre']"
syner-med pharma,['syner-med pharma']
synovet,"['synovet', 'suynovet', 'synovet n', 'synovet &', 'synovit']"
serem,"['serem', 'serum', 'seema', 'sarem']"
brant vet ventures,"['brant vet ventures', 'brant vet ventureso', 'brant vet venture', 'brant vet ventured', 'brant vet venteres']"
grain industry,"['grain industry', 'grain industrie', 'grain industries', 'ram industry', 'grain indusries']"
njuki,"['njuki', 'nyuki']"
taifarm millers limited,"['taifarm millers limited', 'taifarm millers  limited', 'taifarm millers ltd', ""taifarm miller's ltd"", 'taifarm mllers ltd']"
agrval ltd,"['agrval ltd', 'agrival ltd', 'agreval ltd', 'agraval ltd', 'agreval ltd.']"
africa salt,"['africa salt', 'afric salt', 'afric salts', 'africa ltd', 'africa salt ltd']"
sunda (kenya),"['sunda (kenya)', 'sunda kenya']"
upfields ltd,"['upfields ltd', 'upfield ltd', 'upfield  ltd', 'upfield k ltd']"
bio medica,"['bio medica', 'bio- medica', 'bio medical', 'bio medica.', 'biomedica']"
medex,"['medex', 'medox', 'cedex']"
ng'ombe feeds industries,"[""ng'ombe feeds industries"", 'ngombe feeds industries', ""ng'ombe feed industries"", 'ngombe  feeds industries', ""ngo'mbe feeds industries""]"
fugo ltd,"['fugo ltd', 'fugoltd', 'fuga ltd', 'juugo ltd', 'fugo vit ltd']"
unicef,"['unicef', 'gunice', 'eunice', 'nice']"
stardard co ltd,['stardard co ltd']
citi farming ltd,"['citi farming ltd', 'citifarming ltd', 'city farming ltd', 'citifarming ltd.', 'city farming ltd.']"
amazon seed company,"['amazon seed company', 'amazon company', 'african seed company', 'panar seed company', 'eafrican seed company']"
rainbow agro,"['rainbow agro', 'rainbow agro chem', 'rainbow pharm']"
polyflex industry ltd,"['polyflex industry ltd', 'polyflex industries ltd', 'polyflex industry', 'polyflex industried', 'polythene industry ltd']"
omni agri ltd,"['omni agri ltd', 'maxim agri ltd', 'omini agric limited']"
medispec,"['medispec', 'meditec', 'medispec ltd', 'medisel', 'medipen']"
united  millers limited,"['united  millers limited', 'united millers limited', 'united millers ltd', 'united millers ltd.', 'kitale millers limited']"
feed &fodder,"['feed &fodder', 'feed&fodder']"
dmf ltd,"['dmf ltd', 'mrf ltd', 'mfk ltd', 'doom ltd', 'dmbl ltd']"
pfizer pharma,['pfizer pharma']
maco feeds industries,"['maco feeds industries', 'maco feed industries', 'maco feeds industry', 'macofeeds industry', 'ngombe feeds industries']"
made in kenya.,"['made in kenya.', 'made in kenya', 'made in korea']"
sipcam s.p.a,['sipcam s.p.a']
green world international,"['green world international', 'gnld international']"
patanisho feeds,"['patanisho feeds', 'patinisho feeds', 'patanisho feeds ltd', 'pato feeds']"
mwanza feeds,"['mwanza feeds', 'mwanza feed', 'mwanga feeds', 'mazao feeds', 'manda feeds']"
ravian pharma,"['ravian pharma', 'zain pharma', 'saika pharma', 'acino pharma']"
johwama investment,"['johwama investment', 'jamar investments', 'johwama invst', 'samawa investment', 'j investment']"
globela pharma,"['globela pharma', 'global pharma', 'globe pharm', 'globe pharmacy', 'glob pharmacy']"
ogot ltd,"['ogot ltd', 'jogoo ltd', 'ort ltd', 'glt ltd']"
agro best ltd,"['agro best ltd', 'gonas best ltd', 'farmbest ltd']"
kpluss fertilizers,"['kpluss fertilizers', 'kplus fertiliser']"
cocacola company ltd,"['cocacola company ltd', 'cocacola company limited', 'cocacola company', 'royal company ltd']"
chapasolai,"['chapasolai', 'chapa-solai', 'chapa solai', 'chapsolai', 'chapa solai.']"
zike corporation ltd.,"['zike corporation ltd.', 'zike cooperation ltd', 'zike corporation']"
ninhua group,"['ninhua group', 'niinhua group', 'ninhau group']"
